epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,252.254,1.43305,1.12643,1.18562,0.68432,0.63159,0.66074,0.35629,1.34527,0.94797,1.09847,0.000332825,0.000332825,0.0670503
2,444.732,1.35297,0.97865,1.14805,0.70054,0.66295,0.7029,0.39612,1.23779,0.84722,1.06186,0.000665904,0.000665904,0.0340501
3,633.938,1.30972,0.93365,1.13292,0.73763,0.66959,0.72186,0.41439,1.22416,0.80615,1.06307,0.000997967,0.000997967,0.00104878
4,822.35,1.27732,0.8971,1.11709,0.76202,0.7033,0.75912,0.43219,1.19227,0.79321,1.0425,0.000996569,0.000996569,0.000996569
5,1007.82,1.2425,0.85518,1.09952,0.75446,0.7242,0.76277,0.43035,1.18943,0.81248,1.04107,0.000993906,0.000993906,0.000993906
6,1193.51,1.22097,0.82817,1.08935,0.77695,0.6963,0.76419,0.43851,1.17173,0.77656,1.04326,0.000990489,0.000990489,0.000990489
7,1380.87,1.19426,0.80638,1.07718,0.80466,0.73756,0.79753,0.45547,1.18845,0.68571,1.02341,0.000986323,0.000986323,0.000986323
8,1577.43,1.17309,0.78977,1.06593,0.80584,0.74992,0.80726,0.46694,1.16199,0.66903,1.0129,0.000981415,0.000981415,0.000981415
9,1766.13,1.15849,0.76588,1.061,0.80062,0.75526,0.80944,0.47252,1.13068,0.66454,1.01016,0.000975773,0.000975773,0.000975773
10,1956.31,1.14229,0.7567,1.0566,0.79769,0.76196,0.81575,0.48502,1.07789,0.6442,0.9902,0.000969405,0.000969405,0.000969405
11,2144.28,1.13492,0.74643,1.05301,0.81274,0.75621,0.81465,0.4837,1.10123,0.64224,1.0027,0.00096232,0.00096232,0.00096232
12,2332.21,1.12252,0.73328,1.0489,0.83718,0.75673,0.82551,0.49469,1.07883,0.62946,0.98816,0.000954531,0.000954531,0.000954531
13,2521.26,1.11481,0.72361,1.04534,0.82394,0.77305,0.82203,0.48958,1.08933,0.63636,0.99169,0.000946048,0.000946048,0.000946048
14,2707.83,1.09532,0.70739,1.03399,0.83168,0.77116,0.83152,0.49917,1.05475,0.60397,0.97666,0.000936886,0.000936886,0.000936886
15,2893.81,1.09081,0.70119,1.03573,0.82876,0.7754,0.83298,0.49578,1.08886,0.60995,0.99381,0.000927057,0.000927057,0.000927057
16,3080.05,1.08368,0.69306,1.02902,0.81864,0.77358,0.83251,0.49898,1.06658,0.60024,0.97931,0.000916577,0.000916577,0.000916577
17,3266.27,1.08394,0.69182,1.03139,0.83579,0.7737,0.83984,0.50317,1.06802,0.6007,0.979,0.000905463,0.000905463,0.000905463
18,3454.46,1.0753,0.68455,1.03038,0.82646,0.78398,0.83442,0.50098,1.05617,0.60058,0.97566,0.000893732,0.000893732,0.000893732
19,3641.62,1.0642,0.67586,1.02294,0.83502,0.76753,0.837,0.50331,1.05872,0.5953,0.97674,0.000881401,0.000881401,0.000881401
20,3828.17,1.0557,0.67021,1.01869,0.83255,0.77697,0.84075,0.51181,1.05241,0.58546,0.97495,0.00086849,0.00086849,0.00086849
21,4015.39,1.04933,0.66348,1.01583,0.83898,0.78175,0.84439,0.51412,1.03282,0.57361,0.97218,0.000855018,0.000855018,0.000855018
22,4201.04,1.04445,0.65802,1.01741,0.84196,0.78651,0.84527,0.51588,1.03064,0.56918,0.96798,0.000841006,0.000841006,0.000841006
23,4387.83,1.04154,0.65222,1.01549,0.83595,0.79193,0.84906,0.51785,1.03068,0.56842,0.96885,0.000826477,0.000826477,0.000826477
24,4574.9,1.0339,0.64692,1.01155,0.83592,0.79128,0.84713,0.51793,1.02794,0.5712,0.9678,0.000811452,0.000811452,0.000811452
25,4761.94,1.02953,0.63937,1.00855,0.84186,0.79122,0.85142,0.51947,1.02737,0.562,0.96767,0.000795954,0.000795954,0.000795954
26,4948.95,1.02319,0.63329,1.00749,0.83679,0.79652,0.85337,0.52432,1.01679,0.55675,0.96488,0.000780007,0.000780007,0.000780007
27,5136.23,1.02127,0.62969,1.00384,0.83918,0.79667,0.85254,0.52444,1.02213,0.55464,0.96329,0.000763637,0.000763637,0.000763637
28,5323.09,1.01321,0.62354,1.00042,0.83954,0.7982,0.85423,0.52287,1.02501,0.55473,0.96064,0.000746868,0.000746868,0.000746868
29,5509.78,1.00501,0.61985,0.99802,0.83326,0.80397,0.85504,0.52477,1.01993,0.54919,0.96027,0.000729725,0.000729725,0.000729725
30,5697.15,0.99733,0.61189,0.99591,0.85007,0.79357,0.85589,0.53143,1.007,0.54181,0.95657,0.000712237,0.000712237,0.000712237
31,5884.23,0.99587,0.60921,0.99405,0.84598,0.79855,0.86163,0.53336,1.00755,0.54042,0.95624,0.000694428,0.000694428,0.000694428
32,6071.76,0.9918,0.60249,0.99295,0.8409,0.80482,0.86225,0.53394,1.00297,0.54131,0.95976,0.000676328,0.000676328,0.000676328
33,6259.31,0.99068,0.59953,0.9928,0.83214,0.81386,0.85883,0.53309,0.99688,0.53598,0.95602,0.000657963,0.000657963,0.000657963
34,6446.1,0.98438,0.59743,0.98978,0.84076,0.80737,0.86043,0.53514,0.9935,0.53436,0.95553,0.000639363,0.000639363,0.000639363
35,6632.97,0.9786,0.59193,0.98842,0.83309,0.81354,0.86286,0.53611,0.99948,0.53244,0.95701,0.000620555,0.000620555,0.000620555
36,6820.24,0.97173,0.58585,0.98596,0.84122,0.81206,0.86425,0.53834,0.99537,0.52731,0.95751,0.00060157,0.00060157,0.00060157
37,7009.32,0.96643,0.5821,0.98642,0.83262,0.8171,0.86482,0.53906,0.99457,0.52333,0.95592,0.000582435,0.000582435,0.000582435
38,7196.8,0.96477,0.57813,0.98067,0.8427,0.80847,0.8645,0.53995,0.98839,0.52493,0.9541,0.000563181,0.000563181,0.000563181
39,7383.99,0.95686,0.57251,0.97843,0.83585,0.81908,0.86578,0.53961,0.98907,0.52701,0.9555,0.000543837,0.000543837,0.000543837
40,7570.63,0.95116,0.56799,0.97536,0.8412,0.80947,0.86448,0.5403,0.98498,0.51987,0.95325,0.000524434,0.000524434,0.000524434
41,7757.02,0.9433,0.56416,0.97267,0.83916,0.81961,0.86821,0.53952,0.98407,0.51904,0.94984,0.000505,0.000505,0.000505
